latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
13.97793,-15.08894,349.2,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,311.1,4.1
13.68884,-16.30196,355.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306.5,6.9
13.732,-15.99374,338.8,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.3,1
14.10202,-13.93777,347,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,315,10.3
14.09615,-13.94232,344,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,313.4,9.4
14.09718,-13.93686,348.1,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,317,10.3
13.74373,-15.58913,342.6,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310.8,7.6
13.74254,-15.5879,341.1,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310,8.4
13.68775,-15.75432,340.1,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.7,7.4
13.50857,-16.45548,367,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310,34.9
13.68546,-15.50609,344,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310.2,4.6
13.66411,-15.55738,347.1,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.5,5.8
13.66482,-15.55379,352,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309.3,7.9
13.65799,-15.55986,343.8,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.9,12.3
13.65871,-15.55624,353.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,314.8,12.3
13.65942,-15.55265,354.6,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,312.3,20.5
15.53935,-4.339,354.8,0.4,0.4,2017-04-30,13:36,N,nominal,1.0NRT,317.7,17.8
13.43672,-16.27751,347.2,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.2,9
13.60295,-15.4352,346,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310.6,8.7
13.70029,-14.79579,340.4,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.3,4.6
13.69966,-14.79903,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309.5,4.6
13.56804,-15.4139,339.7,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309.6,7.8
13.80235,-13.38263,351.6,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,316.1,9.7
13.21749,-16.35562,334.7,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,299,6.2
14.01123,-12.0351,353.2,0.4,0.5,2017-04-30,13:36,N,nominal,1.0NRT,319.5,10.1
15.13105,-4.55919,344.6,0.4,0.4,2017-04-30,13:36,N,nominal,1.0NRT,309.9,5.3
13.10087,-16.15923,331.7,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,299.7,0.6
11.81825,-15.20564,337.8,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303.3,7.5
-43.19737,146.85583,309.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,272.9,1.4
-43.19606,146.8498,295.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,268,1.4
-43.19221,146.8513,307.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,268.6,5.8
-43.1935,146.85725,328.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,270.7,5.8
-43.18964,146.85873,331.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,274.5,5.8
-43.18837,146.85289,333.8,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,274.6,5.8
-43.18575,146.86006,297.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,274.2,1.3
-43.18447,146.85417,303.7,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,273.9,1.3
-43.1109,146.91139,313.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,279.6,2.3
-43.10709,146.91307,314.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,281.6,2.3
-42.90704,146.85806,305.6,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,277.8,2.6
-42.90743,146.91797,296.2,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,263.7,1.6
-42.90593,146.91104,317.9,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,266.3,2.3
-42.90359,146.91959,311.9,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,266.3,1.6
-42.90207,146.9126,307.1,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,265.7,2.3
-42.55698,146.61967,298.4,0.4,0.4,2017-04-30,14:36,N,nominal,1.0NRT,280.7,2.3
-42.55804,146.62459,332.6,0.4,0.4,2017-04-30,14:36,N,nominal,1.0NRT,279.9,2.5
-37.32085,149.69269,298.9,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.1,0.9
-37.31961,149.68668,299.2,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,284.4,1
-36.01739,146.20279,299.9,0.6,0.5,2017-04-30,14:36,N,nominal,1.0NRT,269.6,1
-36.51224,149.93442,304.7,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285,2
-36.50838,149.93553,317.2,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,286.2,2
